Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P0ADV9,P0ADV9,Lipopolysaccharide export system protein lptC,lptC,,
P31554,P31554,LPS-assembly protein lptD,lptD,,
P0ADC1,P0ADC1,LPS-assembly lipoprotein lptE,lptE,,
P0AF98,P0AF98,Lipopolysaccharide export system permease protein lptF,lptF,,
P0ADC6,P0ADC6,Lipopolysaccharide export system permease protein lptG,lptG,,
P0A722,P0A722,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,lpxA,,
P10441,P10441,Lipid-A-disaccharide synthase,lpxB,,
P0A725,P0A725,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,lpxC,,
P21645,P21645,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,lpxD,,
P43341,P43341,"UDP-2,3-diacylglucosamine hydrolase",lpxH,,
P27300,P27300,Tetraacyldisaccharide 4-kinase,lpxK,,
P0ACJ0,P0ACJ0,Leucine-responsive regulatory protein,lrp,,
P77257,P77257,Autoinducer 2 import ATP-binding protein LsrA,lsrA,,
P76142,P76142,Autoinducer 2-binding protein lsrB,lsrB,,
P0AFS1,P0AFS1,Autoinducer 2 import system permease protein lsrD,lsrD,,
P76143,P76143,Uncharacterized aldolase lsrF,lsrF,,
P64461,P64461,Autoinducer 2-degrading protein lsrG,lsrG,,
P77432,P77432,Autoinducer 2 kinase LsrK,lsrK,,
P76141,P76141,Transcriptional regulator LsrR,lsrR,,
P75823,P75823,Low specificity L-threonine aldolase,ltaE,,
P45578,P45578,S-ribosylhomocysteine lyase,luxS,,
P00861,P00861,Diaminopimelate decarboxylase,lysA,,
P08660,P08660,Lysine-sensitive aspartokinase 3,lysC,,
P0A8N3,P0A8N3,Lysine--tRNA ligase,lysS,,
P0A8N5,P0A8N5,"Lysine--tRNA ligase, heat inducible",lysU,,
P77791,P77791,Maltose O-acetyltransferase,maa,,
P75830,P75830,Macrolide-specific efflux protein macA,macA,,
P26616,P26616,NAD-dependent malic enzyme,maeA,,
P76558,P76558,NADP-dependent malic enzyme,maeB,,
P23917,P23917,Fructokinase,mak,,
P0AEX9,P0AEX9,Maltose-binding periplasmic protein,malE,,
P02916,P02916,Maltose transport system permease protein malF,malF,,
P68183,P68183,Maltose transport system permease protein malG,malG,,
P68187,P68187,Maltose/maltodextrin import ATP-binding protein MalK,malK,,
P03841,P03841,Maltose operon periplasmic protein,malM,,
P00490,P00490,Maltodextrin phosphorylase,malP,,
P15977,P15977,4-alpha-glucanotransferase,malQ,,
P06993,P06993,HTH-type transcriptional regulator MalT,malT,,
P23256,P23256,Protein MalY;Cystathionine beta-lyase MalY;Maltose regulon modulator,malY,,
P21517,P21517,Maltodextrin glucosidase,malZ,,
P00946,P00946,Mannose-6-phosphate isomerase,manA,,
P69797,P69797,PTS system mannose-specific EIIAB component;Mannose-specific phosphotransferase enzyme IIA component;Mannose-specific phosphotransferase enzyme IIB component,manX,,
P69801,P69801,Mannose permease IIC component,manY,,
P69805,P69805,Mannose permease IID component,manZ,,
P0AE18,P0AE18,Methionine aminopeptidase,map,,
P0A8N0,P0A8N0,Macrodomain Ter protein,matP,,
P0AE70,P0AE70,mRNA interferase MazF,mazF,,
P0AEY3,P0AEY3,Nucleoside triphosphate pyrophosphohydrolase,mazG,,
P0AAX6,P0AAX6,Uncharacterized protein McbA,mcbA,,
P76114,P76114,HTH-type transcriptional regulator McbR,mcbR,,
P0AEY5,P0AEY5,Modulator of drug activity B,mdaB,,
P61889,P61889,Malate dehydrogenase,mdh,,
Q1PI59,Q1PI59,Malate dehydrogenase,mdh,,
P39401,P39401,Phosphoglycerol transferase I,mdoB,,
P40120,P40120,Glucans biosynthesis protein D,mdoD,,
P33136,P33136,Glucans biosynthesis protein G,mdoG,,
P62517,P62517,Glucans biosynthesis glucosyltransferase H,mdoH,,
P76397,P76397,Multidrug resistance protein MdtA,mdtA,,
P37636,P37636,Multidrug resistance protein MdtE,mdtE,,
P37637,P37637,Multidrug resistance protein MdtF,mdtF,,
P37340,P37340,Multidrug resistance protein MdtK,mdtK,,
P06720,P06720,Alpha-galactosidase,melA,,
P32166,P32166,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",menA,,
P0ABU0,P0ABU0,"1,4-Dihydroxy-2-naphthoyl-CoA synthase",menB,,
P29208,P29208,o-succinylbenzoate synthase,menC,,
P17109,P17109,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD,,
P37353,P37353,2-succinylbenzoate--CoA ligase,menE,,
P38051,P38051,Menaquinone-specific isochorismate synthase,menF,,
P00935,P00935,Cystathionine gamma-synthase,metB,,
P06721,P06721,Cystathionine beta-lyase metC,metC,,
P25665,P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,metE,,
P00959,P00959,Methionine--tRNA ligase,metG,,
P13009,P13009,Methionine synthase,metH,,
P0A8U6,P0A8U6,Met repressor,metJ,,
P0A817,P0A817,S-adenosylmethionine synthase,metK,,
P00562,P00562,Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase,metL,,
P30750,P30750,Methionine import ATP-binding protein MetN,metN,,
P28635,P28635,D-methionine-binding lipoprotein metQ,metQ,,
P30958,P30958,Transcription-repair-coupling factor,mfd,,
P0AAG8;P32721,P0AAG8,Galactose/methyl galactoside import ATP-binding protein MglA,mglA,,
P0AEE5,P0AEE5,D-galactose-binding periplasmic protein,mglB,,
P23200,P23200,Galactoside transport system permease protein mglC,mglC,,
P0A731,P0A731,Methylglyoxal synthase,mgsA,,
P0ABB8,P0ABB8,"Magnesium-transporting ATPase, P-type 1",mgtA,,
P77569,P77569,Mhp operon transcriptional activator,mhpR,,
P16384,P16384,tRNA dimethylallyltransferase,miaA,,
P0AEI1,P0AEI1,(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB,miaB,,
P18196,P18196,Septum site-determining protein MinC,minC,,
P0AEZ3,P0AEZ3,Septum site-determining protein MinD,minD,,
P0A734,P0A734,Cell division topological specificity factor,minE,,
P03817,P03817,Protein mioC,mioC,,
P0A908,P0A908,MltA-interacting protein,mipA,,
P76506,P76506,Probable phospholipid-binding lipoprotein mlaA,mlaA,,
P64602,P64602,Probable phospholipid ABC transporter-binding protein mlaB,mlaB,,
P0ADV7,P0ADV7,Probable phospholipid-binding protein mlaC,mlaC,,
P64604,P64604,Probable phospholipid ABC transporter-binding protein mlaD,mlaD,,
P64606,P64606,Probable phospholipid ABC transporter permease protein mlaE,mlaE,,
P63386,P63386,Probable phospholipid import ATP-binding protein MlaF,mlaF,,
P50456,P50456,Protein mlc,mlc,,
P28224,P28224,Membrane-bound lysozyme inhibitor of C-type lysozyme,mliC,,
P33358,P33358,HTH-type transcriptional regulator MlrA,mlrA,,
P0A935,P0A935,Membrane-bound lytic murein transglycosylase A,mltA,,
P41052,P41052,Membrane-bound lytic murein transglycosylase B,mltB,,
P0C066,P0C066,Membrane-bound lytic murein transglycosylase C,mltC,,
Q47690,Q47690,Homocysteine S-methyltransferase,mmuM,,
P13669,P13669,Mannosyl-D-glycerate transport/metabolism system repressor mngR,mngR,,
P25745,P25745,tRNA-specific 2-thiouridylase MnmA,mnmA,,
P77182,P77182,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;tRNA (mnm(5)s(2)U34)-methyltransferase;FAD-dependent cmnm(5)s(2)U34 oxidoreductase,mnmC,,
P25522,P25522,tRNA modification GTPase MnmE,mnmE,,
P0A6U3,P0A6U3,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,mnmG,,
P0A9F1,P0A9F1,Transcriptional regulator MntR,mntR,,
P0AEZ9,P0AEZ9,Molybdenum cofactor biosynthesis protein B,moaB,,
P0A738,P0A738,Molybdenum cofactor biosynthesis protein C,moaC,,
P30748,P30748,Molybdopterin synthase sulfur carrier subunit,moaD,,
P30749,P30749,Molybdopterin synthase catalytic subunit,moaE,,
P32173,P32173,Molybdenum cofactor guanylyltransferase,mobA,,
P32125,P32125,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,mobB,,
Q46810,Q46810,Molybdenum cofactor cytidylyltransferase,mocA,,
P37329,P37329,Molybdate-binding periplasmic protein,modA,,
P09833,P09833,Molybdenum import ATP-binding protein ModC,modC,,
P0A9G8,P0A9G8,Transcriptional regulator modE,modE,,
P31060,P31060,Putative molybdenum transport ATP-binding protein ModF,modF,,
P12281,P12281,Molybdopterin molybdenumtransferase,moeA,,
P12282,P12282,Molybdopterin-synthase adenylyltransferase,moeB,,
P0AF03,P0AF03,Molybdopterin adenylyltransferase,mog,,
P0ACV6,P0ACV6,Protein mpaA,mpaA,,
P37773,P37773,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,mpl,,
P77348,P77348,Periplasmic murein peptide-binding protein,mppA,,
P0ACR9,P0ACR9,Transcriptional repressor mprA,mprA,,
Q46864,Q46864,Antitoxin MqsA,mqsA,,
P0A6W3,P0A6W3,Phospho-N-acetylmuramoyl-pentapeptide-transferase,mraY,,
P22186,P22186,Protein MraZ,mraZ,,
P02918,P02918,Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcA,,
P02919-2;P02919,P02919-2;P02919,Penicillin-binding protein 1B;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcB,,
P0AD65,P0AD65,Penicillin-binding protein 2,mrdA,,
P0ABG7,P0ABG7,Rod shape-determining protein RodA,mrdB,,
P0A9X4,P0A9X4,Rod shape-determining protein MreB,mreB,,
P16926,P16926,Cell shape-determining protein MreC,mreC,,
P0AF08,P0AF08,Protein mrp,mrp,,
P60752,P60752,Lipid A export ATP-binding/permease protein MsbA,msbA,,
P24205,P24205,Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,msbB,,
P0A742,P0A742,Large-conductance mechanosensitive channel,mscL,,
P0AAT4,P0AAT4,Miniconductance mechanosensitive channel,mscM,,
P0C0S1,P0C0S1,Small-conductance mechanosensitive channel,mscS,,
P0A744,P0A744,Peptide methionine sulfoxide reductase MsrA,msrA,,
P0A746,P0A746,Peptide methionine sulfoxide reductase MsrB,msrB,,
P76270,P76270,Free methionine-R-sulfoxide reductase,msrC,,
P25738,P25738,Acidic protein msyB,msyB,,
P76346,P76346,Protein MtfA,mtfA,,
P46022,P46022,Monofunctional biosynthetic peptidoglycan transglycosylase,mtgA,,
P00550,P00550,PTS system mannitol-specific EIICBA component;Mannitol permease IIC component;Mannitol-specific phosphotransferase enzyme IIB component;Mannitol-specific phosphotransferase enzyme IIA component,mtlA,,
P09424,P09424,Mannitol-1-phosphate 5-dehydrogenase,mtlD,,
P0AF12,P0AF12,5-methylthioadenosine/S-adenosylhomocysteine nucleosidase,mtnN,,
P0AAD2,P0AAD2,Tryptophan-specific transport protein,mtr,,
P0A9H1,P0A9H1,G/U mismatch-specific DNA glycosylase,mug,,
P22523,P22523,Chromosome partition protein MukB,mukB,,
P22524,P22524,Chromosome partition protein MukE,mukE,,
P60293,P60293,Chromosome partition protein MukF,mukF,,
P0A749,P0A749,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA,,
P08373,P08373,UDP-N-acetylenolpyruvoylglucosamine reductase,murB,,
P17952,P17952,UDP-N-acetylmuramate--L-alanine ligase,murC,,
P14900,P14900,UDP-N-acetylmuramoylalanine--D-glutamate ligase,murD,,
P22188,P22188,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",murE,,
P11880,P11880,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,murF,,
P17443,P17443,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,murG,,
P22634,P22634,Glutamate racemase,murI,,
P0AF16,P0AF16,Probable peptidoglycan biosynthesis protein MurJ,murJ,,
P77272,P77272,PTS system N-acetylmuramic acid-specific EIIBC component;N-acetylmuramic acid-specific phosphotransferase enzyme IIB component;N-acetylmuramic acid permease IIC component,murP,,
P76535,P76535,N-acetylmuramic acid 6-phosphate etherase,murQ,,
P77245,P77245,HTH-type transcriptional regulator MurR,murR,,
P23367,P23367,DNA mismatch repair protein mutL,mutL,,
P05523,P05523,Formamidopyrimidine-DNA glycosylase,mutM,,
P23909,P23909,DNA mismatch repair protein MutS,mutS,,
P08337,P08337,8-oxo-dGTP diphosphatase,mutT,,
P30011,P30011,Nicotinate-nucleotide pyrophosphorylase [carboxylating],nadC,,
P0A752,P0A752,Nicotinate-nucleotide adenylyltransferase,nadD,,
P18843,P18843,NH(3)-dependent NAD(+) synthetase,nadE,,
P27278,P27278,Trifunctional NAD biosynthesis/regulator protein NadR;Transcriptional regulator NadR;Nicotinamide mononucleotide adenylyltransferase;Ribosylnicotinamide kinase,nadR,,
P0AF18,P0AF18,N-acetylglucosamine-6-phosphate deacetylase,nagA,,
P0A759,P0A759,Glucosamine-6-phosphate deaminase,nagB,,
P0AF20,P0AF20,N-acetylglucosamine repressor,nagC,,
P0AF24,P0AF24,Ribonucleotide monophosphatase NagD,nagD,,
P09323,P09323,PTS system N-acetylglucosamine-specific EIICBA component;N-acetylglucosamine permease IIC component;N-acetylglucosamine-specific phosphotransferase enzyme IIB component;N-acetylglucosamine-specific phosphotransferase enzyme IIA component,nagE,,
P75959,P75959,N-acetyl-D-glucosamine kinase,nagK,,
P75949,P75949,Beta-hexosaminidase,nagZ,,
P0A6L4,P0A6L4,N-acetylneuraminate lyase,nanA,,
P69856,P69856,Probable N-acetylneuraminic acid outer membrane channel protein NanC,nanC,,
P0A761,P0A761,Putative N-acetylmannosamine-6-phosphate 2-epimerase,nanE,,
P45425,P45425,N-acetylmannosamine kinase,nanK,,
P39371,P39371,N-acetylneuraminate epimerase,nanM,,
P0A8W0,P0A8W0,Transcriptional regulator NanR,nanR,,
P33937,P33937,Periplasmic nitrate reductase,napA,,
P0ABL3,P0ABL3,"Periplasmic nitrate reductase, electron transfer subunit",napB,,
P09152,P09152,Respiratory nitrate reductase 1 alpha chain,narG,,
P11349,P11349,Respiratory nitrate reductase 1 beta chain,narH,,
P0AF26,P0AF26,Nitrate reductase molybdenum cofactor assembly chaperone NarJ,narJ,,
P10903,P10903,Nitrite extrusion protein 1,narK,,
P0AF28,P0AF28,Nitrate/nitrite response regulator protein NarL,narL,,
P31802,P31802,Nitrate/nitrite response regulator protein NarP,narP,,
P37758,P37758,Nitrite extrusion protein 2,narU,,
P0AFA2,P0AFA2,Nitrate/nitrite sensor protein NarX,narX,,
P19318,P19318,Respiratory nitrate reductase 2 beta chain,narY,,
P19319,P19319,Respiratory nitrate reductase 2 alpha chain,narZ,,
P00393,P00393,NADH dehydrogenase,ndh,,
P0A763,P0A763,Nucleoside diphosphate kinase,ndk,,
P50465,P50465,Endonuclease 8,nei,,
P77258,P77258,N-ethylmaleimide reductase,nemA,,
P68739,P68739,Endonuclease V,nfi,,
P38489;F2X7N5,P38489;F2X7N5,Oxygen-insensitive NAD(P)H nitroreductase,nfnB;NTR,,
P0A6C1,P0A6C1,Endonuclease 4,nfo,,
P31600,P31600,Bacteriophage N4 adsorption protein A,nfrA,,
P17117,P17117,Oxygen-insensitive NADPH nitroreductase,nfsA,,
P63020,P63020,Fe/S biogenesis protein NfuA,nfuA,,
P0AFA7,P0AFA7,Na(+)/H(+) antiporter nhaB,nhaB,,
P0A9G2,P0A9G2,Transcriptional activator protein nhaR,nhaR,,
P0ACD4,P0ACD4,NifU-like protein,nifU,,
P33590,P33590,Nickel-binding periplasmic protein,nikA,,
P0A6Z6,P0A6Z6,Nickel-responsive regulator,nikR,,
P08201,P08201,Nitrite reductase [NAD(P)H] large subunit,nirB,,
P04846,P04846,Lipoprotein 28,nlpA,,
P0ADA3,P0ADA3,Murein hydrolase activator NlpD,nlpD,,
P40710,P40710,Lipoprotein NlpE,nlpE,,
P0AFB1,P0AFB1,Lipoprotein NlpI,nlpI,,
P31806,P31806,Bifunctional NAD(P)H-hydrate repair enzyme Nnr;ADP-dependent (S)-NAD(P)H-hydrate dehydratase;NAD(P)H-hydrate epimerase,nnr,,
P00452;P00452-2,P00452;P00452-2,Ribonucleoside-diphosphate reductase 1 subunit alpha,nrdA,,
P69924,P69924,Ribonucleoside-diphosphate reductase 1 subunit beta,nrdB,,
P28903,P28903,Anaerobic ribonucleoside-triphosphate reductase,nrdD,,
P0A8D0,P0A8D0,Transcriptional repressor NrdR,nrdR,,
P0AF63,P0AF63,HTH-type transcriptional repressor NsrR,nsrR,,
P0AB83,P0AB83,Endonuclease III,nth,,
P32664,P32664,NADH pyrophosphatase,nudC,,
P45799,P45799,ADP compounds hydrolase nudE,nudE,,
Q93K97,Q93K97,ADP-ribose pyrophosphatase,nudF,,
P52006,P52006,Nucleoside triphosphatase nudI,nudI,,
P0AEI6,P0AEI6,Phosphatase nudJ,nudJ,,
P37128,P37128,GDP-mannose pyrophosphatase nudK,nudK,,
P43337,P43337,Uncharacterized Nudix hydrolase NudL,nudL,,
P0AFC3,P0AFC3,NADH-quinone oxidoreductase subunit A,nuoA,,
P0AFC7,P0AFC7,NADH-quinone oxidoreductase subunit B,nuoB,,
P33599,P33599,NADH-quinone oxidoreductase subunit C/D,nuoC,,
P0AFD1,P0AFD1,NADH-quinone oxidoreductase subunit E,nuoE,,
P31979,P31979,NADH-quinone oxidoreductase subunit F,nuoF,,
P33602,P33602,NADH-quinone oxidoreductase subunit G,nuoG,,
P0AFD4,P0AFD4,NADH-quinone oxidoreductase subunit H,nuoH,,
P0AFD6,P0AFD6,NADH-quinone oxidoreductase subunit I,nuoI,,
P0AFE0,P0AFE0,NADH-quinone oxidoreductase subunit J,nuoJ,,
P0AFE4,P0AFE4,NADH-quinone oxidoreductase subunit K,nuoK,,
P33607,P33607,NADH-quinone oxidoreductase subunit L,nuoL,,
P0AFE8,P0AFE8,NADH-quinone oxidoreductase subunit M,nuoM,,
P0AFF0,P0AFF0,NADH-quinone oxidoreductase subunit N,nuoN,,
P0AFF2,P0AFF2,Nucleoside permease nupC,nupC,,
P0AFF4,P0AFF4,Nucleoside permease nupG,nupG,,
P0AFF6,P0AFF6,Transcription elongation protein nusA,nusA,,
P0A780,P0A780,N utilization substance protein B,nusB,,
P0AFG0,P0AFG0,Transcription antitermination protein NusG,nusG,,
P42641,P42641,GTPase ObgE/CgtA,obgE,,
P0AFH0,P0AFH0,Methylated-DNA--protein-cysteine methyltransferase,ogt,,
P0A910,P0A910,Outer membrane protein A,ompA,,
P06996;Q1PI90,P06996;Q1PI90,Outer membrane protein C,ompC,,
P02931;P02932,P02931,Outer membrane protein F,ompF,,
P0AA16,P0AA16,Transcriptional regulatory protein OmpR,ompR,,
P09169;P34210,P09169,Protease 7,ompT,,
P0A915,P0A915,Outer membrane protein W,ompW,,
P0A917,P0A917,Outer membrane protein X,ompX,,
P23843,P23843,Periplasmic oligopeptide-binding protein,oppA,,
P0AFH2,P0AFH2,Oligopeptide transport system permease protein oppB,oppB,,
P0AFH6,P0AFH6,Oligopeptide transport system permease protein oppC,oppC,,
P76027,P76027,Oligopeptide transport ATP-binding protein OppD,oppD,,
P77737,P77737,Oligopeptide transport ATP-binding protein OppF,oppF,,
P0A784,P0A784,Oligoribonuclease,orn,,
P0C0L2,P0C0L2,Peroxiredoxin osmC,osmC,,
P0ADB1,P0ADB1,Osmotically-inducible lipoprotein E,osmE,,
P33362,P33362,Putative osmoprotectant uptake system substrate-binding protein osmF,osmF,,
P0AFH8,P0AFH8,Osmotically-inducible protein Y,osmY,,
P31677,P31677,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming]",otsA,,
P31678,P31678,Trehalose-6-phosphate phosphatase,otsB,,
P0ACQ4,P0ACQ4,Hydrogen peroxide-inducible genes activator,oxyR,,
P76086,P76086,Transcriptional repressor PaaX,paaX,,
P77181,P77181,Phenylacetic acid degradation protein paaY,paaY,,
P00903,P00903,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,,
P05041,P05041,Para-aminobenzoate synthase component 1,pabB,,
P28305,P28305,Aminodeoxychorismate lyase,pabC,,
P0A912,P0A912,Peptidoglycan-associated lipoprotein,pal,,
P31057,P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,,
P31663,P31663,Pantothenate synthetase,panC,,
P0A790,P0A790,Aspartate 1-decarboxylase;Aspartate 1-decarboxylase beta chain;Aspartate 1-decarboxylase alpha chain,panD,,
P0A9J4,P0A9J4,2-dehydropantoate 2-reductase,panE,,
P0AFI2,P0AFI2,DNA topoisomerase 4 subunit A,parC,,
P20083,P20083,DNA topoisomerase 4 subunit B,parE,,
P42588,P42588,Putrescine aminotransferase,patA,,
P22259,P22259,Phosphoenolpyruvate carboxykinase [ATP],pckA,,
P0A7A5,P0A7A5,Protein-L-isoaspartate O-methyltransferase,pcm,,
P0ABF1,P0ABF1,Poly(A) polymerase,pcnB,,
P0ACL9,P0ACL9,Pyruvate dehydrogenase complex repressor,pdhR,,
P19624,P19624,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,,
P05459,P05459,Erythronate-4-phosphate dehydrogenase,pdxB,,
P0AFI7,P0AFI7,Pyridoxine/pyridoxamine 5-phosphate oxidase,pdxH,,
P0A794,P0A794,Pyridoxine 5-phosphate synthase,pdxJ,,
P40191,P40191,Pyridoxine kinase,pdxK,,
P77150,P77150,Pyridoxamine kinase,pdxY,,
P68767,P68767,Cytosol aminopeptidase,pepA,,
P37095,P37095,Peptidase B,pepB,,
P15288,P15288,Cytosol non-specific dipeptidase,pepD,,
P0A7C6,P0A7C6,Peptidase E,pepE,,
P04825,P04825,Aminopeptidase N,pepN,,
P15034,P15034,Xaa-Pro aminopeptidase,pepP,,
P21165,P21165,Xaa-Pro dipeptidase,pepQ,,
P29745,P29745,Peptidase T,pepT,,
P0A796,P0A796,6-phosphofructokinase isozyme 1,pfkA,,
P06999,P06999,6-phosphofructokinase isozyme 2,pfkB,,
P0A9N4,P0A9N4,Pyruvate formate-lyase 1-activating enzyme,pflA,,
P09373,P09373,Formate acetyltransferase 1,pflB,,
P0A6T1,P0A6T1,Glucose-6-phosphate isomerase,pgi,,
P0A799,P0A799,Phosphoglycerate kinase,pgk,,
P52697,P52697,6-phosphogluconolactonase,pgl,,
P36938,P36938,Phosphoglucomutase,pgm,,
P0ABF8,P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,pgsA,,
P0A9J8,P0A9J8,P-protein;Chorismate mutase;Prephenate dehydratase,pheA,,
P24207,P24207,Phenylalanine-specific permease,pheP,,
P08312,P08312,Phenylalanine--tRNA ligase alpha subunit,pheS,,
P07395,P07395,Phenylalanine--tRNA ligase beta subunit,pheT,,
P0AFJ1,P0AFJ1,Protein phnA,phnA,,
P16681,P16681,Protein phnB,phnB,,
B8YM76;P00634,B8YM76;P00634,Alkaline phosphatase,phoA,,
P0AFJ5,P0AFJ5,Phosphate regulon transcriptional regulatory protein phoB,phoB,,
P23836,P23836,Transcriptional regulatory protein PhoP,phoP,,
P23837,P23837,Sensor protein PhoQ,phoQ,,
P08400,P08400,Phosphate regulon sensor protein PhoR,phoR,,
P0A9K7,P0A9K7,Phosphate transport system protein phoU,phoU,,
P0AFJ7,P0AFJ7,Low-affinity inorganic phosphate transporter 1,pitA,,
P0A921,P0A921,Phospholipase A1,pldA,,
P07000,P07000,Lysophospholipase L2,pldB,,
P76002,P76002,Inhibitor of g-type lysozyme,pliG,,
P0A7A7,P0A7A7,Glycerol-3-phosphate acyltransferase,plsB,,
P26647,P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,plsC,,
P27247,P27247,Phosphate acyltransferase,plsX,,
P60782,P60782,Probable glycerol-3-phosphate acyltransferase,plsY,,
P0AFK0,P0AFK0,Protein pmbA,pmbA,,
P37590,P37590,Signal transduction protein pmrD,pmrD,,
P21369,P21369,Pyrazinamidase/nicotinamidase,pncA,,
P05055,P05055,Polyribonucleotide nucleotidyltransferase,pnp,,
P07001,P07001,NAD(P) transhydrogenase subunit alpha,pntA,,
P0AB67,P0AB67,NAD(P) transhydrogenase subunit beta,pntB,,
P00582,P00582,DNA polymerase I,polA,,
P69874,P69874,Spermidine/putrescine import ATP-binding protein PotA,potA,,
P0AFK9,P0AFK9,Spermidine/putrescine-binding periplasmic protein,potD,,
P31133,P31133,Putrescine-binding periplasmic protein,potF,,
P0A8N7,P0A8N7,Uncharacterized protein YjeA,poxA,,
P07003,P07003,Pyruvate dehydrogenase [ubiquinone];Alpha-peptide,poxB,,
P0A7A9,P0A7A9,Inorganic pyrophosphatase,ppa,,
P00864,P00864,Phosphoenolpyruvate carboxylase,ppc,,
P0AFL3,P0AFL3,Peptidyl-prolyl cis-trans isomerase A,ppiA,,
P23869,P23869,Peptidyl-prolyl cis-trans isomerase B,ppiB,,
P0A9L5,P0A9L5,Peptidyl-prolyl cis-trans isomerase C,ppiC,,
P0ADY1,P0ADY1,Peptidyl-prolyl cis-trans isomerase D,ppiD,,
P0A7B1,P0A7B1,Polyphosphate kinase,ppk,,
P0A7B3,P0A7B3,Probable inorganic polyphosphate/ATP-NAD kinase,ppnK,,
P23538,P23538,Phosphoenolpyruvate synthase,ppsA,,
P0A8A4,P0A8A4,Phosphoenolpyruvate synthase regulatory protein,ppsR,,
P0AFL6,P0AFL6,Exopolyphosphatase,ppx,,
P43671,P43671,Paraquat-inducible protein B,pqiB,,
P23865,P23865,Tail-specific protease,prc,,
P76440,P76440,NAD-dependent dihydropyrimidine dehydrogenase sunbunit PreT,preT,,
P0A7I0,P0A7I0,Peptide chain release factor 1,prfA,,
P07012,P07012,Peptide chain release factor 2,prfB,,
P0A7I4,P0A7I4,Peptide chain release factor 3,prfC,,
P17888,P17888,Primosomal protein N,priA,,
P0AEX5,P0AEX5,Probable phosphoribulokinase,prkB,,
P27298,P27298,Oligopeptidase A,prlC,,
P15373,P15373,Antitoxin PrlF,prlF,,
P0A8T1;CON__Q9N2I2,P0A8T1,Ribosomal protein L11 methyltransferase,prmA,,
P39199,P39199,50S ribosomal protein L3 glutamine methyltransferase,prmB,,
P0ACC1,P0ACC1,Release factor glutamine methyltransferase,prmC,,
P07004,P07004,Gamma-glutamyl phosphate reductase,proA,,
P0A7B5,P0A7B5,Glutamate 5-kinase,proB,,
P0A9L8,P0A9L8,Pyrroline-5-carboxylate reductase,proC,,
P0C0L7,P0C0L7,Proline/betaine transporter,proP,,
P45577,P45577,ProP effector,proQ,,
P16659,P16659,Proline--tRNA ligase,proS,,
P14175,P14175,Glycine betaine/L-proline transport ATP-binding protein ProV,proV,,
P14176,P14176,Glycine betaine/L-proline transport system permease protein proW,proW,,
P0AFM2,P0AFM2,Glycine betaine-binding periplasmic protein,proX,,
P0AAE2,P0AAE2,Proline-specific permease ProY,proY,,
P77541,P77541,Methylisocitrate lyase,prpB,,
P31660,P31660,2-methylcitrate synthase,prpC,,
P77243,P77243,2-methylcitrate dehydratase,prpD,,
P77743,P77743,Propionate catabolism operon regulatory protein,prpR,,
P77674,P77674,Gamma-aminobutyraldehyde dehydrogenase,prr,,
P0A717,P0A717,Ribose-phosphate pyrophosphokinase,prs,,
P0A8K1,P0A8K1,Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain,psd,,
P0AFM4,P0AFM4,Phosphate starvation-inducible protein psiF,psiF,,
P0AFM6,P0AFM6,Phage shock protein A,pspA,,
P0AFM9,P0AFM9,Phage shock protein B,pspB,,
P0AFN2,P0AFN2,Phage shock protein C,pspC,,
P23857,P23857,Thiosulfate sulfurtransferase PspE,pspE,,
